為る;スル
居る;イル
有る;アル
言う;イウ
無い;ナイ
成る;ナル
御;オ
其の;ソノ
一;イチ
其れ;ソレ
良い;ヨイ
人;ヒト
何;ナニ
来る;コイ
物;モノ
見る;ミル
行く;イク
方;ホウ
時;トキ
私-代名詞;ワタクシ
出来る;デキル
さん;サン
二;ニ
此の;コノ
三;サン
中;チュウ
所;トコロ
分かる;ワカル
自分;ジブン
此れ;コレ
など;ナド
今;イマ
日;ヒ
後;アト
遣る;ヤル
出る;デル
十;ジュウ
二十;ニジュウ
三十;サンジュウ
前;マエ
聞く;キク
目;メ
達;タチ
年;ネン
たり;タリ
又;マタ
五;ゴ
五十;ゴジュウ
下さる;クダサル
知る;シル
入る;ハイル
より;ヨリ
持つ;モツ
もう;モウ
使う;ツカウ
くらい;クライ
内;ウチ
四;ヨン
四十;ヨンジュウ
上;ウエ
等;トウ
ながら;ナガラ
度;ド
貴方;アナタ
取る;トル
置く;オク
出す;ダス
家;イエ
同じ;オナジ
手;テ
話;ハナシ
時間;ジカン
男;オトコ
何処;ドコ
其処;ソコ
良く;ヨク
皆;ミナ
誰;ダレ
何時;イツ
私;ワタシ
万;マン
顔;カオ
未だ;マダ
多い;オオイ
車;シャ
此処;ココ
子供;コドモ
掛ける;カケル
六;ロク
六十;ロクジュウ
然し;シカシ
月;ゲツ
教える;オシエル
入れる;イレル
本当;ホントウ
少し;スコシ
八;ハチ
八十;ハチジュウ
円;エン
女;オンナ
しか;シカ
違う;チガウ
作る;ツクル
先;サキ
上げる;アゲル
二人;フタリ
七;ナナ
七十;ナナジュウ
悪い;ワルイ
百;ヒャク
二百;ニヒャク
五百;ゴヒャク
三百;サンビャク
四百;ヨンヒャク
六百;ロッピャク
七百;ナナヒャク
八百;ハッピャク
声;コエ
書く;カク
余り;アマリ
そして;ソシテ
歳;サイ
一人;ヒトリ
分;フン
仕事;シゴト
直ぐ;スグ
こんな;コンナ
言葉;コトバ
掛かる;カカル
下;シタ
買う;カウ
電話;デンワ
一寸;チョット
母;ハハ
何故;ナゼ
どんな;ドンナ
好き;スキ
九;キュウ
九十;キュウジュウ
九百;キュウヒャク
店;ミセ
頭;アタマ
頃;コロ
高い;タカイ
意味;イミ
質問;シツモン
何の;ドノ
食べる;タベル
問題;モンダイ
口;クチ
体;タイ
会社;カイシャ
本;ホン
今日;キョウ
一緒;イッショ
大きい;オオキイ
一番;イチバン
切る;キル
話す;ハナス
零;レイ
回;カイ
何方;ドチラ
飲む;ノム
父;チチ
欲しい;ホシイ
早い;ハヤイ
帰る;カエル
わ;ワ
先生;センセイ
次;ツギ
部屋;ヘヤ
立つ;タツ
結婚;ケッコン
長い;ナガイ
何れ;イズレ
呼ぶ;ヨブ
待つ;マツ
会う;アウ
甘い;アマイ
箇月;カゲツ
風;カゼ
此方;コチラ
外;ソト
迚も;トテモ
開く;ヒラク
千;セン
二千;ニセン
五千;ゴセン
三千;サンゼン
四千;ヨンセン
